,id,curiosity_je,curiosity_ds,curiosity_st,curiosity_sc,curiosity_ts,lambda_,tau,beta,r2_guassian,r2_ucb
16,16,3.2,6.4,1.8,6.0,1.2,1.001329068787266,-1.552137463711359,1.7517363318711994,0.0883304061038172,0.2523392847545574
17,17,4.0,4.2,6.2,4.4,1.4,-0.5206841967116308,-0.8040039341826666,-3.3816098084806696,0.1238615849562029,0.1247210021748694
18,18,4.0,4.8,5.2,4.0,2.4,-0.8024184217210282,-2.554064253344039,1.920979058095498,0.3619937898208426,0.5120384910841163
19,19,6.6,6.4,3.4,6.8,3.4,1.6091692212392326,1.8246172527611748,4.886815727124704,0.0484255780766148,0.1206409401921803
20,20,2.8,4.8,2.8,4.2,1.8,0.5531366907577017,-0.9384576307288388,-4.999979563709782,0.2054807904347214,0.205354666165786
21,21,4.6,4.4,3.6,4.2,3.4,1.0171934697213991,-2.467917546579877,-4.999918811223498,0.1277866718676141,0.1281062718120388
22,23,4.6,4.8,4.6,2.6,4.0,0.1446823457727731,-3.0723647904093467,1.398193319063838,0.0684818681094061,0.1767091815395762
23,24,4.0,3.6,3.2,3.6,2.6,1.25274980075158,-1.1876816916169093,-4.999874385103032,0.2462774190223539,0.2462562329381273
24,26,4.8,5.2,4.2,5.2,2.2,1.3488059073814749,-1.129056966590286,-4.999976795514541,0.1099065803897884,0.1097778576772695
25,27,4.4,1.6,6.8,2.6,2.6,-2.426020600133192,-2.3815467808054125,1.9788608756715225,0.278315092374978,0.4282690619561308
26,28,7.0,6.6,5.4,5.8,5.2,-4.668509485366899,-2.602213228277697,0.959926417633003,0.1487833189016136,0.2580427472320827
27,29,4.4,5.2,2.6,6.4,4.6,0.9661935803191743,-1.591059674657764,1.609532807159222,0.1038073367662911,0.2045727553194746
28,30,5.4,6.0,5.8,3.4,2.2,-4.99987479225866,-3.5175155021304008,2.264457959074256,0.1028599140451582,0.1454844428315469
29,31,5.6,5.6,2.4,5.6,2.6,1.8297032298304816,-2.226217645303954,-4.999993304201476,0.2370296602640318,0.3013340077510272
30,32,6.8,7.0,4.8,6.6,5.6,-3.2051452997691894,-2.2584207139489765,-0.8413868844776949,0.2207092756063667,0.2568380756561541
31,33,4.4,4.4,4.6,4.6,5.2,0.0240548892772542,-3.174477035381228,1.165750608660038,0.2497169032436205,0.3334762025541478
32,34,5.0,5.4,2.6,4.8,1.4,1.4635690066702562,-1.0977366287900627,-3.5103491597495,0.2407480335483188,0.2407533411012766
33,35,6.8,5.6,4.0,6.0,3.6,0.93669029515173,-0.9160343136421588,1.6633875300492738,0.0493235888663021,0.0913845727072171
34,36,7.0,6.2,4.6,7.0,4.6,1.5102983257250502,-0.7562825979345975,1.8203302668446373,0.1004668728369511,0.1657378997926645
35,37,4.2,4.2,4.6,6.2,1.8,0.9736592260877562,-0.9112239984926171,0.9862951576447618,0.0926804155989435,0.1142623261930257
36,38,4.4,2.8,2.4,6.0,3.0,-1.8110069181295865,-0.7485889480921051,-3.456015584401604,0.030105020629678,0.0301022385647165
37,39,4.4,3.8,5.2,4.8,3.8,1.8379703059630044,0.4453242191514912,3.0762260033946545,0.015564284724717,0.0547955159400016
38,40,5.4,5.8,5.2,5.0,3.0,0.9307517557401508,-1.9815574770523383,0.627172598685387,0.2108499124513893,0.2811101673840426
39,41,5.0,4.2,4.8,3.4,3.4,1.5580972075950188,0.7922969421639133,4.999999620677522,0.0086200901082207,0.3744906802543669
40,42,5.4,5.8,3.6,2.8,3.6,0.2985271261668134,-2.5457894895588007,3.4542059042776514,0.0006473373829669,0.1931237289897641
41,43,4.6,5.6,3.0,1.8,2.4,-0.1392791953545104,-2.7187119826178234,3.281257800934823,0.0333603999259209,0.1098753470119089
