,id,rt,response,book,correct_answer,correct
452,28,7.9754,False,23,False,True
453,28,31.3573,True,84,True,True
454,28,4.5395,True,114,True,True
455,28,2.6249,False,130,True,False
456,28,3.6068,False,205,False,True
457,28,8.5928,True,145,True,True
458,28,3.5096,False,151,False,True
459,28,1.4405,True,15,True,True
460,28,5.6248,False,64,False,True
461,28,1.7905,False,105,False,True
462,28,4.5794,True,116,True,True
463,28,2.7602,True,1,True,True
464,29,6.477,False,115,False,True
465,29,3.9869,False,21,False,True
466,29,4.403,False,30,False,True
467,29,5.6198,True,82,True,True
468,29,3.005,False,107,False,True
469,29,5.6521,True,101,True,True
470,29,2.5744,True,105,True,True
471,29,3.8377,True,108,True,True
472,29,23.052,False,159,False,True
473,29,10.0313,False,93,False,True
474,29,5.5868,True,1,True,True
475,29,2.573,True,131,True,True
476,29,3.9384,False,37,False,True
477,29,5.6369,True,177,True,True
478,29,4.4711,False,79,False,True
479,29,3.3397,True,155,True,True
480,30,9.7672,False,38,False,True
481,30,10.8238,False,63,False,True
482,30,7.058,True,219,True,True
483,30,3.4424,True,179,True,True
484,30,6.1656,True,98,True,True
485,30,8.0205,True,183,True,True
486,30,8.1979,False,85,False,True
487,30,8.1022,False,149,False,True
488,30,5.1319,False,127,False,True
489,30,10.9805,False,132,False,True
490,30,9.2853,True,203,True,True
491,30,31.0829,True,151,False,False
492,30,6.7513,True,17,True,True
493,30,5.6766,True,135,True,True
494,30,11.6273,False,201,False,True
495,30,5.5926,True,43,True,True
496,31,15.2643,True,211,True,True
497,31,10.1412,False,60,False,True
498,31,13.1262,False,87,False,True
499,31,27.9712,True,167,True,True
500,31,42.8718,False,132,False,True
501,31,17.9294,True,196,True,True
502,31,7.688,True,213,True,True
503,31,8.0884,True,61,True,True
504,31,14.0358,False,151,True,False
505,31,9.1302,True,198,True,True
506,31,45.1805,False,114,False,True
507,31,9.2106,False,39,False,True
508,31,12.4295,False,98,False,True
509,31,6.0522,False,124,False,True
510,31,7.2156,True,15,True,True
511,31,16.008,False,113,False,True
512,32,12.7464,False,158,False,True
513,32,4.8521,True,32,True,True
514,32,8.1522,False,170,False,True
515,32,1.8247,True,25,True,True
516,32,2.2409,False,212,False,True
517,32,3.622,True,28,True,True
518,32,4.8719,False,33,False,True
519,32,3.2611,True,11,True,True
520,32,5.1379,False,35,False,True
521,32,5.5011,False,120,False,True
522,32,7.7663,True,31,True,True
523,32,3.1704,False,163,False,True
524,32,4.6598,True,27,True,True
525,32,10.0787,False,98,False,True
526,32,3.2042,True,29,True,True
527,32,4.9194,False,18,True,False
528,33,21.688,False,156,False,True
529,33,13.661,False,77,False,True
530,33,11.285,False,211,True,False
531,33,7.849,False,224,False,True
532,33,26.556,True,225,True,True
533,33,13.713,True,80,True,True
534,33,7.953,True,59,True,True
535,33,16.033,False,60,False,True
536,33,11.348,False,218,False,True
537,33,8.819,False,28,False,True
538,33,5.284,True,83,True,True
539,33,10.75,False,108,False,True
540,33,4.139,True,15,True,True
541,33,5.206,True,56,True,True
542,33,9.214,True,72,True,True
543,33,3.705,False,48,False,True
544,34,5.6864,True,32,True,True
545,34,4.6245,True,17,True,True
546,34,3.7603,True,46,True,True
547,34,6.754,False,195,False,True
548,34,2.9101,True,8,True,True
549,34,5.0078,True,7,True,True
550,34,10.6721,False,9,False,True
551,34,6.2409,False,53,False,True
552,34,5.4608,True,23,True,True
553,34,10.0687,False,204,False,True
554,34,9.7715,False,196,False,True
555,34,8.257,False,20,False,True
556,34,5.4765,False,181,False,True
557,34,8.023,False,145,False,True
558,34,3.9428,True,211,True,True
559,34,2.6767,True,15,True,True
560,35,13.67,True,142,True,True
561,35,10.304,False,209,False,True
562,35,13.627,False,164,False,True
563,35,7.01,True,211,True,True
564,35,15.203,True,212,True,True
565,35,8.357,False,19,False,True
566,35,12.896,False,198,False,True
567,35,6.953,True,167,True,True
568,35,3.391,True,136,True,True
